id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
4253;6;6;24052;2029-05-30;NULL;71761;LENGKAP;662;1114;NULL;NULL
4254;15;15;751225;2027-07-30;NULL;9950;LENGKAP;662;1060;NULL;NULL
4255;24;24;650525;2027-06-14;NULL;17625;LENGKAP;662;1061;NULL;NULL
4256;2;2;40865;2027-04-16;NULL;134550;LENGKAP;662;1169;NULL;NULL
4258;20;20;2508273;2027-08-27;NULL;11624;LENGKAP;662;1297;NULL;NULL
4259;30;30;2511104;2027-11-11;NULL;21500;LENGKAP;662;544;NULL;NULL
4260;10;10;2505164;2027-05-22;NULL;21600;LENGKAP;663;543;NULL;NULL
4261;15;15;2510181;2027-10-31;NULL;20500;LENGKAP;663;1409;NULL;NULL
4262;15;15;2511095;2027-11-10;NULL;20500;LENGKAP;663;1409;NULL;NULL
4263;7;7;2509281;2027-09-26;NULL;23634;LENGKAP;663;1182;NULL;NULL
4264;3;3;2511062;2027-11-05;NULL;23634;LENGKAP;663;1182;NULL;NULL
4266;10;10;2509001;2027-08-31;NULL;23126;LENGKAP;663;1279;NULL;NULL
4267;24;24;25E03090;2028-05-28;NULL;18000;LENGKAP;663;553;NULL;NULL
4268;24;24;25D02093;2028-03-28;NULL;11560;LENGKAP;663;1074;NULL;NULL
4269;24;24;24G0505124;2027-07-01;NULL;30000;LENGKAP;663;554;NULL;NULL
4270;24;24;25E03451;2028-05-28;NULL;18000;LENGKAP;663;555;NULL;NULL
4271;24;24;25H06280;2028-09-28;NULL;11560;LENGKAP;663;1266;NULL;NULL
4273;3;3;KTPRGR44592;2027-08-31;NULL;25842;LENGKAP;664;643;NULL;NULL
4274;1;1;I20515;2028-09-18;NULL;13000;LENGKAP;664;7;NULL;NULL
4275;2;2;25E03090;2028-05-28;NULL;18000;LENGKAP;664;553;NULL;NULL
4276;1;1;52866;2028-05-30;NULL;16500;LENGKAP;664;857;NULL;NULL
4277;1;1;52563;2027-04-30;NULL;27750;LENGKAP;664;524;NULL;NULL
4279;6;6;I51710W;2027-09-16;NULL;3852;LENGKAP;664;282;NULL;NULL
4280;6;6;K09002BE;2028-09-01;NULL;3330;LENGKAP;664;1021;NULL;NULL
4282;1;1;2509001;2027-08-31;NULL;23126;LENGKAP;664;1279;NULL;NULL
4283;5;5;A04820GC;2028-07-31;NULL;64800;LENGKAP;637;788;NULL;NULL
4284;12;12;2549039;2029-09-30;NULL;14736;LENGKAP;649;1181;NULL;NULL
4285;20;20;KCBPCA54182;2027-07-31;NULL;25200;LENGKAP;665;264;NULL;NULL
